QUEST_LV_0300_20150323_000001	Fuimos desplegados aquí desde el cuartel general para apoyar a los Caballeros de Kaliss.{nl}Si quieres saber más, dirígete a nuestro cuartel general en la Plaza Verkti.
QUEST_LV_0300_20150323_000002	He sido comerciante toda mi vida. {nl}Después de Medzio Diena, este parecía el lugar más seguro para estar, así que me instalé aquí... {nl}Pero supongo que me equivoqué.
QUEST_LV_0300_20150323_000003	He conocido a muchos Reveladores durante mis viajes.{nl}En mi opinión... hay algo especial en ellos, y no es solo su fuerza.
QUEST_LV_0300_20150323_000004	No culpo a las diosas ni a los sacerdotes{nl}. Pero creo que es demasiado cuando nos dicen que simplemente confiemos en ellos y esperemos.
QUEST_LV_0300_20150323_000005	Se supone que los sellos del pueblo deben estar sellados; por eso se llaman sellos, ¿así que cuál es el problema? Los sacerdotes solo intentan asustarnos sin motivo.{nl}
QUEST_LV_0300_20150323_000006	Los sacerdotes no quieren que todos sepan lo importantes que son los sellos en el pueblo{nl}. Creen que pueden simplemente asumir la responsabilidad ellos mismos, y entonces todo estará bien.{nl}
QUEST_LV_0300_20150323_000007	Algunos sacerdotes quieren ser sinceros y abiertos con los aldeanos.{nl}A este paso, si ocurre algo realmente malo...
QUEST_LV_0300_20150323_000008	La energía maligna está haciendo que este bosque se deteriore hasta convertirse en un lugar sin vida. {nl}Es sin duda el mayor problema al que se enfrenta este pueblo.
QUEST_LV_0300_20150323_000009	Diosa...{nl}Por favor, dime que el sello del pueblo está realmente bien...
QUEST_LV_0300_20150323_000010	Los demonios seguirán atacando el sello sin cesar{nl}. Con la diosa Austeja aún desaparecida, ¿cuánto tiempo podremos resistir...?
QUEST_LV_0300_20150323_000011	Fue un error de nuestra parte intentar manejar esto por nuestra cuenta{nl}. De ahora en adelante, les diremos a los aldeanos toda la verdad y los incluiremos en una discusión deliberada sobre cómo manejar el asunto.{nl}
QUEST_LV_0300_20150717_000012	Compruebe la funcionalidad del detector (1)
QUEST_LV_0300_20150717_000013	Demonios, diosas y la ciudad petrificada (1)
QUEST_LV_0300_20150717_000014	Compruebe la funcionalidad del detector (2)
QUEST_LV_0300_20150717_000015	Demonios, diosas y la ciudad petrificada (2)
QUEST_LV_0300_20150717_000016	Compruebe la funcionalidad del detector (3)
QUEST_LV_0300_20150717_000017	Compruebe la funcionalidad del detector (4)
QUEST_LV_0300_20150717_000018	Acerca de la guía de las almas
QUEST_LV_0300_20150717_000019	Reparar el detector de petrificación
QUEST_LV_0300_20150717_000020	Reparando/FABRICANDO/3/TRACK_AFTER/Ninguno
QUEST_LV_0300_20150717_000021	Compruebe la funcionalidad del detector (5)
QUEST_LV_0300_20150717_000022	Reparar/FABRICANDO/3/PISTA_ANTES
QUEST_LV_0300_20150717_000023	Aviso/!/Una de las partes no está bien sujeta{nl}¡Necesitarás algo como una cuerda para atarla en su lugar!#5
QUEST_LV_0300_20150717_000024	Aviso/!/Necesitas encontrar una cadena.#5
QUEST_LV_0300_20150717_000025	Para la guía de las almas
QUEST_LV_0300_20150717_000026	Ahora puedes relajarte.
QUEST_LV_0300_20150717_000027	Examinando el dispositivo/MIRA/2/RASTREAR_ANTES/Ninguno
QUEST_LV_0300_20150717_000028	¡Atención! Cuando tocas el dispositivo, sientes como si te estuvieran succionando el alma{nl}. ¡Empiezas a sentirte cada vez más débil!
QUEST_LV_0300_20150717_000029	¡Atención! Ahora te sientes con energía renovada. #5
QUEST_LV_0300_20150717_000030	Su único deseo (1)
QUEST_LV_0300_20150717_000031	Sobre el motivo de su deseo de morir
QUEST_LV_0300_20150717_000032	Su único deseo (3)
QUEST_LV_0300_20150717_000033	Su único deseo (2)
QUEST_LV_0300_20150717_000034	Ve al Maestro Clérigo
QUEST_LV_0300_20150717_000035	Ahora no podéis trabajar juntos
QUEST_LV_0300_20150717_000036	Destruye la terminal (1)
QUEST_LV_0300_20150717_000037	Acerca del ordenador central y la terminal
QUEST_LV_0300_20150717_000038	¡Evita los ataques de los monstruos y destruye la terminal! #5
QUEST_LV_0300_20150717_000039	Destruye la terminal (2)
