QUEST_LV_0100_20150317_000001	Centinela	경계병				
QUEST_LV_0100_20150317_000002	Si eliges ir a Klaipeda, recomiendo tomar la Shadow Forest Road{nl}Lo profundo del bosque es peligroso, asi que intenta mantenerte alejado de allí si puedes.	클라페다로 가려면 곧장 그늘 숲 가도로 가는 게 좋습니다.{nl}숲의 깊은 곳은 위험하니 왠만하면 자제하시고요.				경계병
QUEST_LV_0100_20150317_000003	Hombre Escondido	숨어있는 남자				
QUEST_LV_0100_20150317_000004	¡P-Por fin! ¿Ha llegado la ayuda?{nl}¡¿Eh?! ¿Es solo un niño? Oye... ¿todavia hay Vubbes allá fuera?	드.. 드디어! 구조대가 온 건가?{nl}뭐야! 애송이 혼자잖아? 이봐. 밖에 아직도 부베가 있나?				숨어있는 남자
QUEST_LV_0100_20150317_000005	Agh. ¡Vete! ¡No me hables! ¡Seremos capturados por los Vubbes!{nl}Este es mi lugar asi que vete.	으윽.. 저리 가! 말 걸지 마! 부베한테 들킨단 말이야!{nl}여긴 내 자리니까 썩 꺼져!				숨어있는 남자
QUEST_LV_0100_20150317_000006	¿Qué? ¡No me mientas! Puedo oler a los Vubbes desde aquí.{nl}¡No puedes engañar a un adulto! ¡Aléjate! ¡No te acerques a este barril!	뭐? 거짓말하지 마! 부베놈들 악취가 아직도 코를 찌르는구먼. 무슨!!{nl}어른을 놀리면 못써! 저리 가! 이 나무통 근처로 얼씬도 하지 마!				숨어있는 남자
QUEST_LV_0100_20150317_000007	¿Eh? ¿Es solo un niño? ¿Qué estás mirando? ¡Cierra la tapa y muevete!{nl}{nl}	드.. 드디어! 구조대가 온 건가?{nl}뭐야! 애송이 혼자잖아? 뭘 봐? 그냥 뚜껑 닫고 갈 길 가버려!{nl}				숨어있는 남자
QUEST_LV_0100_20150317_000008	¿Qué es ese papel que tienes? Me parece conocido...{nl}¡Déjame ver eso! ¿Qué estás haciendo? ¡Oye, hay un adulto hablandote!	그런데 네가 들고 있는 그 종이.. 글귀가 어째 낯이 익은데? {nl}이리 줘봐! 뭐해? 어른이 말씀하시는데 냉큼 내놓지 않고!				숨어있는 남자
QUEST_LV_0100_20150317_000009	Este papel, ¡Es mío! ¡Nunca más lo volveré a regalar!{nl}No es... algo que necesites - Simplemente lo rasgaré. Ahí.	이건!! 내 것이잖아?! 다시 못 줘!! {nl}너한텐 절대로 필요 없는 거니까, 다 찢어버릴 거야!!				숨어있는 남자
QUEST_LV_0100_20150317_000010	Vaya, qué flojo...	쳇, 싱겁긴..				숨어있는 남자
QUEST_LV_0100_20150317_000011	Después de que todas las diosas desaparecieron, aquellos sueños fueron una de las primeras {nl}cosas que aparecieron. Quizás una de esas personas será la que traerá a las diosas de vuelta.	여신들께서 전부 사라지시고 난 뒤에 처음으로 나타난 징후 아닙니까.{nl}어쩌면 그 많은 사람중에 누군가가 여신을 돌아오게 할지도 모르잖습니까?				경계병
QUEST_LV_0100_20150317_000012	Soldado Blak	병사 블락				
QUEST_LV_0100_20150317_000013	¡Se advirtió!{nl}¡Los monstruos están atacando, asi que todos los civiles deben evacuar!{nl}De todas maneras, ¿Porqué están esos civiles en la zona militar?{nl}	경고합니다! {nl}몬스터가 습격 중이니 민간인은 빨리 도망치세요!  {nl}아니, 근데 왜 군사 지역에 민간인이 들어온 거죠?{nl}				병사 블락
QUEST_LV_0100_20150317_000014	¡Ah, asi que tú eres el Revelador! Lo siento, no te reconocí.{nl}Los monstruos en este momento están atacando la base de suministros.{nl}Necesito conseguir algunas raciones importantes de la base. ¡Por favor ayúdame!	아, 계시자님! 몰라 봬서 정말 죄송합니다.{nl}지금 보급기지 전체를 몬스터가 습격 중입니다.{nl}일단 중요한 식량만이라도 어떻게 빼 오고 싶은데.. 제발 도와주십시오!				병사 블락
QUEST_LV_0100_20150317_000015	Era pacífico hace no mucho tiempo atrás, pero ahora ellos vienen en grupos.{nl}¿Que está pasando exactamente?	얼마 전까진 잠잠했는데 갑자기 대규모로 몰려들고 있습니다.{nl}대체 무슨 일일까요?				병사 블락
QUEST_LV_0100_20150317_000016	Aún así, me siento inquieto...{nl}¿Quién sabría que atacarían de una manera tan absurda?	안 그래도 불안 불안했는데..{nl}저렇게 말도 안 되는 게 덮칠 줄은 누가 알았겠습니까?				병사 블락
QUEST_LV_0100_20150317_000017	Las raciones están en el First Supply Warehouse, al cual puedes llegar usando la {nl}carretera por el lado superior. Por favor trae de vuelta cualquier resto que encuentres...	식량은 위쪽 길을 따라가면 나오는 제1 보급창고에 있습니다.{nl}어떻게 남은 것만이라도 좀.. 아이고 세상에..				병사 블락
QUEST_LV_0100_20150317_000018	Yo escribí quién es Sparna. Quizás será útil en el futuro.{nl}Aunque ahora no lo parezca, yo era un biólogo hace cuatro años atrás.	혹시나 도움이 될까 싶어서 스파르나스가 뭐 하는 놈인지 기록해놨습니다.{nl}제가 이래 봬도 4년 전엔 생물학도였거든요.{nl}				병사 블락
QUEST_LV_0100_20150317_000019	Por favor entrega este reporte a Luders.{nl}El probablemente está en el Campamento Central de Suministros.	이 보고서를 류다스님께 전달해 주십시오. {nl}아마 지금쯤이면 중앙 보급 기지에 계실 겁니다.				병사 블락
QUEST_LV_0100_20150317_000020	Oficial Luders	장교 류다스				
QUEST_LV_0100_20150317_000021	Ah, tu debes ser el tan llamado Revelador. Gusto en conocerte.{nl}¿Este es el reporte de Blak?{nl}	아아, 자네가 소문의 그 계시자로군. 반갑네.{nl}이건 블락의 보고서인가?{nl}				장교 류다스
QUEST_LV_0100_20150317_000022	Hmm... ¿Así de que eso se trata?{nl}Parece que simplemente destruyeron los suministros y se escaparon. Pero incluso si los{nl}Chupacabras tuvieran alas, seguramente no podrían hacer algo como eso.{nl}	흠.. 그렇군. {nl}보급품만 집요하게 파괴하고 도망간다니 츄파카브라에게 날개가 달렸어도 이보단 덜할 거야.{nl}				장교 류다스
QUEST_LV_0100_20150317_000023	Esto no es suficiente.{nl}Lo siento, pero por favor tráenos el reporte de Moody desde Amzina Curved Path.	이걸론 좀 부족하군.{nl}미안하네만, 자네가 암지나 굽잇길에 있는 무디의 보고서도 받아다 주게.				장교 류다스
QUEST_LV_0100_20150317_000024	Me siento mejor desde que Luders está aquí.	류다스님께서 와 주셔서 그나마 마음이 놓입니다.				병사 블락
QUEST_LV_0100_20150317_000025	Soldado York	병사 요크				
QUEST_LV_0100_20150317_000026	Los Siaulambs están cruzando la carretera. Yo estoy en pánico, y no sé qué hacer.{nl}Estoy seguro que Luders no permitiría que esto sucediera...¿Qué deberíamos hacer?	샤울렘들이 도를 넘어서고 있습니다.{nl}저도 패닉상태라 도저히 뭘 어떻게 해야 할지 모르겠습니다.{nl}류다스님께선 절대 그냥 넘어가지 않으실 텐데.. 어쩌죠?				병사 요크
QUEST_LV_0100_20150317_000027	¿Crees que el problema se resolverá sólo derrotando a Sparnas?	스파르나스만 잡는다고 해결될 문제일까요?				병사 요크
QUEST_LV_0100_20150317_000028	Gracias por tu ayuda, creo que puedo controlarme.{nl}Pero... ¿No volverá a suceder este tipo de cosas otra vez? ¿Qué debiera hacer entonces?	도와주신 덕분에 어떻게든 추스를 수 있겠네요.{nl}하지만.. 이런 일은 또 생기겠죠? 그럴 땐 어떻게 해야 할지..				병사 요크
QUEST_LV_0100_20150317_000029	¿Sparnas? No tenemos una respuesta clara acerca de él.{nl}Solo apareció desde el cielo sin ninguna señal y destruyó todos los suministros que teníamos.{nl}Entonces, rápidamente desapareció. Tuvimos jaquecas con tan solo oír sus gritos.	스파르나스요? 그건 진짜 답이 없어요.{nl}징조도 없이 갑자기 하늘에서 나타나선 보급품을 다 부숴버리고 나선 금새 사라져버리죠.{nl}울음소리만 들어도 머리가 아파요.				병사 요크
QUEST_LV_0100_20150317_000030	El lugar del cual les acabo de hablar es el Second Supply Warehouse.{nl}Es deprimente pensar en cómo este tipo de cosas seguirán ocurriendo en el futuro.	말씀드린 지점은 제2 보급창고입니다. {nl}앞으로도 계속 이런 일이 되풀이 될걸 생각하니 정말 갑갑하네요.				병사 요크
QUEST_LV_0100_20150317_000031	Toma. Hice algunas carnadas con granos viejos de los suministros.{nl}Yo voy a atraerlo desde allá arriba, asi que tú quédate aquí. Sparnas definitivamente aparecerá{nl}en unos de estos dos lugares. No dejes que se escape. Asegúrate de destruirlo.{nl}	받게. 보급품에서 오래된 곡식을 전부 골라내 미끼를 만들었네.{nl}나는 위쪽에서 녀석을 유인해 볼 테니 자넨 여기 벌목지를 맡아 주게.{nl}둘 중 어느 한 곳이던 스파르나스는 반드시 나타날 거야. 놓치지 말고 반드시 처치하세.{nl}				장교 류다스
QUEST_LV_0100_20150317_000032	Puede que no consigamos una segunda oportunidad si no lo derrotamos ahora.{nl}No pareciera que son idiotas.	이번이 아니면 다신 잡을 수 없을지도 모르네.{nl}저들도 멍청이는 아닐 테니.				장교 류다스
QUEST_LV_0100_20150317_000033	Escuché el sonido de la lucha y vine aprisa. ¿Lo derrotaste?{nl}Yo solo ví a los Siaulambs en mi lugar.{nl}Gracias. Has realizado una hazaña meritoria.	싸우는 소리가 나서 급히 달려왔네만.. 확실히 처치한 건가?{nl}내 쪽은 샤울렘들만 우글거리더군.{nl}수고했네. 이 모든 공은 자네 덕으로 돌리지. 				
QUEST_LV_0100_20150317_000034	Ayudante General Paulina	부관 폴리나				
