UI_20150317_000001	{@st41b}Aprende Atributos{nl}de los respectivos maestros de cada clase.{/}	{@st41b}각 클래스 마스터들에게서{nl}특성을 배울 수 있습니다.{/}				
UI_20150317_000002	{@st43}Lista de Atributos {/}	{@st43}특성 목록{/}				
UI_20150317_000003	{@st59}Cerrar{/}	{@st59}특성리스트를 닫습니다{/}				
UI_20150317_000004	{@st43}Aprender Atributos{/}	{@st43}특성 배우기{/}				
UI_20150317_000005	{@st59}Cerrar{/}	{@st59}특성창을 닫습니다{/}				
UI_20150317_000006	{@st41b}Plata{/}	{@st41b}소지금{/}				
UI_20150317_000007	Mis Logros	나의 업적				
UI_20150317_000008	Ranking del Servidor	서버 랭킹				
UI_20150317_000009	{@st59}Un evento inesperado está disponible.{/}	{@st59}돌발이벤트가 있습니다{/}				
UI_20150317_000010	{@st59}Hay un nuevo mensaje de Ayuda{/}	{@st59}도움말이 있습니다{/}				
UI_20150317_000011	{@st41}¿Seguro que quieres fabricar este tipo de flecha?{/}	{@st41}어떤 종류의 화살을 제작하겠습니까?{/}				
UI_20150317_000012	{@st41b}Una vez{/}	{@st41b}한번만{/}				
UI_20150317_000013	{@st41b}Todo{/}	{@st41b}모두{/}				
UI_20150317_000014	{@st41b}Pausa{/}	{@st41b}중단{/}				
UI_20150317_000015	{@st43}Diario de Aventuras{/}	{@st43}모험일지{/}				
UI_20150317_000016	{@st43}Casa de Subastas{/}	{@st43}경매장{/}				
UI_20150317_000017	{@st59}Cerrar{/}	{@st59}경매장을 닫습니다{/}				
UI_20150317_000018	{@st41b}Objetos Vendidos : ×%s, Objetos No Vendidos : ×%s{/}	{@st41b}낙찰물품 : %s개,  유찰물품 : %s개{/}				
UI_20150317_000019	{@st43}{s22}Subasta de Objeto{/}	{@st43}{s22}아이템 경매{/}				
UI_20150317_000020	{@st59}Cerrar{/}	{@st59}퀘스트 정보를 닫습니다{/}				
UI_20150317_000021	Avalest	아베일레스트				
UI_20150317_000022	{@st41b}Tiempo Restante	{@st41b}남은 시간				
UI_20150317_000023	3 horas 16 minutos	3시간 16분				
UI_20150317_000024	{@st41b}Precio Inicial	{@st41b}시작가				
UI_20150317_000025	{@st41b}Pujas	{@st41b}입찰수				
UI_20150317_000026	{@st41b}Precio Actual	{@st41b}현재가				
UI_20150317_000027	{@st41b}Precio de Puja	{@st41b}입찰금				
UI_20150317_000028	{@st41b}Precio Mínimo de Puja desde {@st57}%s{@st41b}de plata{/}	{@st41b}최소 {@st57}%s {@st41b}실버부터 입찰가능{/}				
UI_20150317_000029	{@st41b}Pujar{/}	{@st41b}입찰{/}				
UI_20150317_000030	{@st43b}¡Comprar Ahora!{nl}{img icon_item_silver 20 20}{@st57}%s{/}	{@st43b}바로 구매!{nl}{img icon_item_silver 20 20}{@st57}%s{/}				
UI_20150317_000031	{@st44}Configuración de Permisos{/}	{@st44}권한설정{/}				
UI_20150317_000032	{@st45}Nombre: %s{/}	{@st45}이름:%s{/}				
UI_20150317_000033	{@st45}Almacén de Grupo{/}	{@st45}파티 창고{/}				
UI_20150317_000034	{@st49}Ninguno	{@st49}없음				
UI_20150317_000035	{@st49}Guardar	{@st49}넣기				
UI_20150317_000036	{@st49}Recuperar	{@st49}가져오기				
UI_20150317_000037	{@st45}Encuesta{/}	{@st45}설문{/}				
UI_20150317_000038	{@st49}Crear	{@st49}작성				
UI_20150317_000039	{@st49}Eliminar	{@st49}삭제				
UI_20150317_000040	{@st44}Guardar{/}	{@st44}저장{/}				
UI_20150317_000041	{@st44}Cancelar{/}	{@st44}취소{/}				
UI_20150317_000042	{@st43}{s22}Tienda de Peinados{/}	{@st43}{s22}미용실{/}				
UI_20150317_000043	{@st59}Peinado Anterior{/}	{@st59}이전 머리{/}				
UI_20150317_000044	{@st59}Siguiente Peinado{/}	{@st59}다음 머리{/}				
UI_20150317_000045	{@st41b} Cambiar {s18} (se requieren 100 TP) {/}	{@st41b}변경{s18}(NXP 100 필요){/}				
UI_20150317_000046	{@st59}Cambiar al peinado seleccionado.{/}	{@st59}선택한 헤어로 변경합니다.{/}				
UI_20150317_000047	{@st41}Cancelar	{@st41}해약				
UI_20150317_000048	{@st43}Mercado Negro{/}	{@st43}블랙 마켓{/}				
UI_20150317_000049	Nombre del Libro	책이름				
UI_20150317_000050	{@St59}Detener Lectura{/}	{@st59}독서를 그만둡니다{/}				
UI_20150317_000051	{@st59}Página Anterior{/}	{@st59}이전 페이지{/}				
UI_20150317_000052	{@st59}Página Siguiente{/}	{@st59}다음페이지{/}				
UI_20150317_000053	{@st47}¡%s apareció!	{@st47}%s 등장!!				
UI_20150317_000054	{@st43}Puntuación{/}	{@st43}스코어{/}				
UI_20150317_000055	Daño Recibido	받은 데미지				
UI_20150317_000056	Bono de Técnica	테크닉 보너스				
UI_20150317_000057	Bono de Evasión	회피 보너스				
UI_20150317_000058	Tiempo de Completado	클리어 시간				
UI_20150317_000059	Puntuación Total	총 점수				
UI_20150317_000060	{@st42}Tiempo Transcurrido	{@st42}경과 시간				
UI_20150317_000061	10 minutos	10분				
UI_20150317_000062	10 segundos	10초				
UI_20150317_000063	{@st44}Completado	{@st44}마감하기				
UI_20150317_000064	{@st59}Cerrar{/}	{@st59}자판기를 닫습니다{/}				
UI_20150317_000065	{@st43}Máquina Expendedora de Buffs	{@st43}버프 자판기				
UI_20150317_000066	Nombre de la Máquina Expendedora	자판기 이름				
UI_20150317_000067	{@st43}Registrar	{@st43}등록				
UI_20150317_000068	{@st43}Cancelar	{@st43}취소				
UI_20150317_000069	Máquina Expendedora de Buffs	버프 자판기				
UI_20150317_000070	{@st59}Cerrar	{@st59}버프 자판기를 닫습니다.				
UI_20150317_000071	{@st59}Máquina Expendedora de Buffs{nl} - Puedes pagar plata para recibir buffs de otro jugador.	{@st59}버프 자판기{nl} - 실버를 지불해 해당 플레이어에게 버프 기술을 시전받을 수 있습니다.				
UI_20150317_000072	Menú de Carruaje	마차메뉴				
UI_20150317_000073	{ol}{s22}Desembarcar{/}	{ol}{s22}내리기{/}				
UI_20150317_000074	Lanzando	캐스팅				
UI_20150317_000075	{@st43}Configuración del Juego{/}	{@st43}게임설정{/}				
UI_20150317_000076	{@st64}¡Usa las teclas de flecha para seleccionar una celda!	{@st64}방향키를 입력해 셀을 선택하세요!				
UI_20150317_000077	{@st43}Información de Ascenso {/}	{@st43}전직 정보{/}				
UI_20150317_000078	{@st43}Selecciona una clase	{@st43}클래스 선택				
UI_20150317_000079	Psicoquinesista	사이코키네스스트				
UI_20150317_000080	{@st42}%s Círculo {/}	{@st42}%s 서클{/}				
UI_20150317_000081	Cuántos círculos	몇 서클				
UI_20150317_000082	Muestra una breve descripción de la clase.	클래스에 대한 간단한 설명을 이곳에 표시합니다.				
UI_20150317_000083	{@st41b}Ataque {@sti7}%s{/}	{@st41b}공격력 {@sti7}%s{/}				
UI_20150317_000084	{@st41b}Apoyo {@sti7}%s{/}	{@st41b}보조    {@sti7}%s{/}				
UI_20150317_000085	{@st41b}Dificultad{@sti7}%s{/}	{@st41b}난이도 {@sti7}%s{/}				
UI_20150317_000086	{@st59}Cerrar{/}	{@st59}클래스 정보 창을 닫습니다{/}				
UI_20150317_000087	Alarma de Ascenso	전직 가능 알람				
UI_20150317_000088	{@st43} Ascenso	{@st43}클래스 전직				
UI_20150317_000089	{@sti7}{s14} Personaje {/}	{@sti7}{s14}캐릭터{/}				
UI_20150317_000090	{@sti8}{s14} Clase {/}	{@sti8}{s14}클래스{/}				
UI_20150317_000091	{@st44}Chat{/}	{@st44}채팅{/}				
UI_20150317_000092	Para. WWWWWWWW y 1 más	To. WWWWWWWW 외 1				
UI_20150317_000093	General: /s chat {nl} Grito: /y chat {nl} Grupo: /p chat{nl} Susurro: /w chat del nombre de usuario del personaje	일반 : /s 내용{nl}외침 : /y 내용{nl}파티 : /p 내용{nl}귓속말 : /w 캐릭명 내용				
UI_20150317_000094	{@st41}Todo el Chat{/}	{@st41}일반 대화{/}				
UI_20150317_000095	{@59}Salir{/}	{@59}종료하기{/}				
UI_20150317_000096	{@59}Invitar{/}	{@59}초대하기{/}				
UI_20150317_000097	{@st59}Todo{/}	{@st59}전체{/}				
UI_20150317_000098	{@st59}Normal (chat /s){/}	{@st59}일반  (/s 할말){/}				
UI_20150317_000099	{@st59}Grito (/y chat){/}	{@st59}외침  (/y 할말){/}				
UI_20150317_000100	{@st59}Grupo (/p chat){/}	{@st59}파티  (/p 할말){/}				
UI_20150317_000101	{@st59}Susurro (/w chat del nombre de equipo){/}	{@st59}귓속말   (/w 팀이름 할말){/}				
UI_20150317_000102	{@st59}Ajustar Ventana de Chat{/}	{@st59}채팅창 크기 조절{/}				
UI_20150317_000103	{@st43}{s22}Macro de Chat{/}	{@st43}{s22}채팅 매크로{/}				
UI_20150317_000104	{@st43}Macro{/}	{@st43}매크로{/}				
UI_20150317_000105	{@st59b}Macro {nl} {@st59s} - Cómo usar: {nl} 1. Arrastra un ícono de gesto a cualquiera de las ranuras de gesto de abajo. {nl} 2. Escribe tu frase y guarda. {nl} 3. Usa la tecla de acceso rápido para usar simultáneamente la frase y hacer el gesto. {/}	{@st59b}매크로{nl}{@st59s} - 사용 방법 : {nl} 1. 상단의 제스쳐 아이콘을 하단의 제스쳐 슬롯에 등록{nl} 2. 대화문구 작성 후 저장{nl} 3. 해당 단축키를 사용해서 대사와 동시에 제스쳐 동작{/}				
UI_20150317_000106	{@st59}Cerrar{/}	{@st59}매크로를 닫습니다{/}				
UI_20150317_000107	{@st41b}Guardar{/}	{@st41b}저장{/}				
UI_20150317_000108	{@st59}Guardar{/}	{@st59}등록한 내용을 저장합니다{/}				
UI_20150317_000109	{@st41b}Cancelar{/}	{@st41b}취소{/}				
UI_20150317_000110	{@st59}Cancelar{/}	{@st59}등록한 내용을 취소합니다{/}				
UI_20150317_000111	{@st42}Configuración de Chat	{@st42}채팅 설정				
UI_20150317_000112	{@st42}Transparencia	{@st42}투명도				
UI_20150317_000113	Mostrar Globo de Chat	말풍선 표시				
UI_20150317_000114	Mostrar Gritos Arriba	화면 상단에 외치기 내용 표시				
UI_20150317_000115	{@st43}Lista de Trucos{/}	{@st43}치트리스트{/}				
UI_20150317_000116	{@st42b}Objeto{/}	{@st42b}  아이템  {/}				
UI_20150317_000117	{@st42b}Monstruo{/}	{@st42b}  몬스터  {/}				
UI_20150317_000118	{@st42b}Mover mapa{/}	{@st42b}  맵이동  {/}				
UI_20150317_000119	{@st42b}Orden de Combate{/}	{@st42b}  전투명령  {/}				
UI_20150317_000120	{@st41b}Cerrar{/}	{@st41b}닫기{/}				
UI_20150317_000121	{s16}{b}Crea objetos haciendo clic en el botón Crear o doble clic.	{s16}{b}더블클릭 또는 생성 버튼으로 아이템을 생성할 수 있습니다.				
UI_20150317_000122	{s16}{b}u.	{s16}{b}개				
UI_20150317_000123	{s16}{b}Nv.	{s16}{b}레벨				
UI_20150317_000124	{@st41b}Buscar{/}	{@st41b}검색{/}				
UI_20150317_000125	{s16}{b}Invoca monstruos haciendo clic en el botón Crear o doble clic.	{s16}{b}더블클릭 또는 생성버튼으로 몬스터를 소환할 수 있습니다.				
UI_20150317_000126	{s16}{b}u.	{s16}{b}마리				
UI_20150317_000127	{s16}{b}Selecciona un área deseada.	{s16}{b}원하는 지역을 선택하세요				
UI_20150317_000128	{s18}{b}Ver Minimapa{/}	{s18}{b}미니맵 보기{/}				
UI_20150317_000129	{@st41b}Lista de Herramientas{/}	{@st41b}툴 리스트{/}				
UI_20150317_000130	{@st59b}Colección {nl}{@st59s}- Compra el Mazo de Colección para agregar objetos coleccionables a tu colección. {nl} - La tecla rápida de colección se habilitará al usar el Objeto de Mazo de Colección. {nl} {/}	{@st59b}콜렉션{nl}{@st59s} - 게임내 콜렉션 덱을 구해 아이템을 수집하면 해당 아이템 수집 가능{nl} - 콜렉션 덱 아이템 사용했을 경우 콜렉션 단축키가 활성화{nl}{/}				
UI_20150317_000131	{@st59}Cerrar{/}	{@st59}콜렉션 정보를 닫습니다{/}				
UI_20150317_000132	{@st43}Colección{/}	{@st43}콜렉션{/}				
UI_20150317_000133	{@st43}Aerosol de Color{/}	{@st43}컬러스프레이{/}				
UI_20150317_000134	{@st49}Aerosol de Color{/}	{@st49}컬러스프레이{/}				
UI_20150317_000135	{@st49}Color{/}	{@st49}색상{/}				
UI_20150317_000136	{@st49}Restante{/}	{@st49}잔량{/}				
UI_20150317_000137	{@st49}Pincel{/}	{@st49}브러쉬{/}				
UI_20150317_000138	{@st49}{a END_EDIT_SPRAY}Dibujar{/}{/}	{@st49}{a END_EDIT_SPRAY}그리기{/}{/}				
UI_20150317_000139	{@st49}{a SAVE_EDIT_SPRAY}Guardar{/}{/}	{@st49}{a SAVE_EDIT_SPRAY}저장{/}{/}				
UI_20150317_000140	{@st49}{a LOAD_EDIT_SPRAY}Importar{/}{/}	{@st49}{a LOAD_EDIT_SPRAY}불러오기{/}{/}				
UI_20150317_000141	{@st49}Cerrar{/}	{@st49}닫기{/}				
UI_20150317_000142	{@st43}Adopción de Compañero	{@st43}컴패니언 분양				
UI_20150317_000143	{@st59}Ingresa el nombre de tu compañero recién adoptado {/}	{@st59}분양 받을 컴패니언의 이름을 입력하세요{/}				
UI_20150317_000144	{@st41b}Nombre{/}	{@st41b}이름{/}				
UI_20150317_000145	{@st41b}Precio %s{/}	{@st41b}가격     %s{/}				
UI_20150317_000146	{@st59}Cerrar{/}	{@st59}컴패니엄 분양 창을 닫습니다{/}				
UI_20150317_000147	{@st41b}Adoptar	{@st41b}분양				
UI_20150317_000148	{@st59}Confirmar{/}	{@st59}분양 받을 컴패니언을 결정합니다{/}				
UI_20150317_000149	{@st43}Tienda de Compañeros	{@st43}컴패니언 샵				
UI_20150317_000150	{@st59}Cerrar{/}	{@st59}컴패니언 상점을 닫습니다{/}				
UI_20150317_000151	{@st43}Información de otro personaje{/}{@st42}	{@st43}다른 캐릭터 정보{/} {@st42}				
UI_20150317_000152	{@st59}Cerrar{/}	{@st59}캐릭터 정보를 닫습니다{/}				
UI_20150317_000153	{@st41b}Información	{@st41b}정보				
UI_20150317_000154	{@st41b}Registro	{@st41b}기록				
UI_20150317_000155	Nombre del Equipo	팀이륨				
UI_20150317_000156	Nombre del Personaje	캐릭이륨				
